id,brood,sex,court_cp,court_mp,forewing,total_trials
13063,C3,1,7,13,RED,5
13078,C3,1,8,12,RED,5
13124,C7,1,9,9,RED,5
13184,C8,1,2,0,WHITE,5
13191,C8,1,12,3,RED,6
13215,C8,1,1,2,RED,5
13230,C8,1,0,1,RED,5
13247,C8,1,5,2,WHITE,5
13248,C18,1,22,0,WHITE,5
13269,C8,1,3,0,RED,5
13274,C18,1,5,2,WHITE,5
13278,NA,1,8,3,WHITE,5
13280,C18,1,1,5,RED,5
13286,C18,1,4,0,RED,5
13313,C17,1,7,4,RED,5
13314,C18,1,0,2,RED,5
13316,C17,1,11,9,RED,3
13321,C18,1,9,1,WHITE,5
13345,C10,1,0,0,RED,2
13381,C23,1,1,2,RED,5
13385,C21,1,8,11,WHITE,5
13404,C21,1,14,4,WHITE,7
13440,C18,1,4,0,WHITE,5
13489,c32,1,0,0,WHITE,5
13491,C32,1,1,2,WHITE,6
13520,c34,1,0,0,WHITE,2
13531,C32,1,1,3,RED,5
13556,C32,1,3,1,WHITE,5
13561,C32,1,2,0,WHITE,5
13734,C51,1,6,4,WHITE,5
13735,c38,1,0,0,RED,1
13833,C70,1,7,2,WHITE,5
13860,C71,1,3,0,RED,4
13922,C51,1,4,3,RED,3
13997,C75,1,2,1,WHITE,4
13998,C72,1,5,6,WHITE,4
14017,C70,1,3,1,WHITE,3
14053,C84,1,16,3,WHITE,5
14153,C72,1,2,4,WHITE,1
