type,sample,brood,court_cp,court_mp,total_courts,prop_melp,total_trials
CP,NA,CP,1,0,1,0,1
CP,NA,CP,1,0,1,0,5
BC,13914,C51,1,0,1,0,1
BC,13305,C18,1,0,1,0,4
BC,13186,C8,1,0,1,0,5
BC,14043,C72,1,0,1,0,5
BC,13311,C18,0,1,1,1,4
BC,13923,C72,0,1,1,1,4
BC,13230,C8,0,1,1,1,5
BM,13121,C5,0,1,1,1,5
CP,NA,CP,2,0,2,0,5
CP,NA,CP,2,0,2,0,4
CP,NA,CP,2,0,2,0,1
CP,NA,CP,2,0,2,0,5
CP,NA,CP,2,0,2,0,6
CP,NA,CP,1,1,2,0.5,5
BC,NA,C10,2,0,2,0,2
BC,13863,C70,2,0,2,0,3
BC,13865,C70,2,0,2,0,3
BC,13184,C8,2,0,2,0,5
BC,13561,C32,2,0,2,0,5
BC,14008,C72,2,0,2,0,5
BC,13648,C36,2,0,2,0,7
BC,NA,c70,1,1,2,0.5,1
BC,13492,C32,1,1,2,0.5,6
BC,13530,C32,0,2,2,1,3
BC,13981,C72,0,2,2,1,3
BC,13314,C18,0,2,2,1,5
BC,13317,C18,0,2,2,1,5
BC,14042,C72,0,2,2,1,5
BM,13180,C4,0,2,2,1,5
CP,NA,CP,3,0,3,0,5
CP,NA,CP,3,0,3,0,5
CP,NA,CP,1,2,3,0.666666667,5
BC,NA,NA,3,0,3,0,1
BC,13860,C71,3,0,3,0,4
BC,13227,C8,3,0,3,0,5
BC,13269,C8,3,0,3,0,5
BC,13514,C32,3,0,3,0,5
BC,NA,c38,2,1,3,0.333333333,2
BC,13881,C70,2,1,3,0.333333333,4
BC,13997,C75,2,1,3,0.333333333,4
BC,13214,C10,2,1,3,0.333333333,5
BC,13268,C8,2,1,3,0.333333333,5
BC,13215,C8,1,2,3,0.666666667,5
BC,13381,C23,1,2,3,0.666666667,5
BC,13382,C23,1,2,3,0.666666667,5
BC,13491,C32,1,2,3,0.666666667,6
BC,13312,C18,0,3,3,1,4
F1,NA,C6,1,2,3,0.666666667,5
BM,NA,C4,0,3,3,1,1
MP,NA,MP,0,3,3,1,5
CP,NA,CP,3,1,4,0.25,5
BC,13848,C71,4,0,4,0,3
BC,13995,C72,4,0,4,0,3
BC,14024,C72,4,0,4,0,4
BC,13286,C18,4,0,4,0,5
BC,13440,C18,4,0,4,0,5
BC,13322,C18,3,1,4,0.25,3
BC,13885,C71,3,1,4,0.25,3
BC,14017,C70,3,1,4,0.25,3
BC,13556,C32,3,1,4,0.25,5
BC,14155,C94,2,2,4,0.5,1
BC,13057,C3,2,2,4,0.5,5
BC,13290,C18,2,2,4,0.5,5
BC,NA,c71,1,3,4,0.75,2
BC,13183,C8,1,3,4,0.75,5
BC,13224,C10,1,3,4,0.75,5
BC,13283,C18,1,3,4,0.75,5
BC,13531,C32,1,3,4,0.75,5
BC,14004,C72,1,3,4,0.75,5
BC,13185,C8,0,4,4,1,5
BC,13225,C10,0,4,4,1,5
F1,13062,C6,4,0,4,0,5
BM,13064,C4,1,3,4,0.75,5
BM,13102,C4,1,3,4,0.75,5
BM,13107,C4,1,3,4,0.75,5
MP,NA,MP,0,4,4,1,2
CP,NA,CP,5,0,5,0,5
CP,NA,CP,5,0,5,0,5
