Type,genome,place,individual,insectary_id,brood,court_cp,court_mp,total_courts,prop_melp,total_trials
CP,0,1,NA,233,CP,1,0,1,0,1
CP,0,1,NA,600,CP,1,0,1,0,5
BC,25,2,13914,1250,C51,1,0,1,0,1
BC,25,2,13305,428,C18,1,0,1,0,4
BC,25,2,13186,327,C8,1,0,1,0,5
BC,25,2,14043,1272,C72,1,0,1,0,5
BC,25,2,13311,467,C18,0,1,1,1,4
BC,25,2,13923,1224,C72,0,1,1,1,4
BC,25,2,13230,341,C8,0,1,1,1,5
BM,75,4,13121,252,C5,0,1,1,1,5
CP,0,1,NA,559,CP,2,0,2,0,5
CP,0,1,NA,562,CP,2,0,2,0,4
CP,0,1,NA,563,CP,2,0,2,0,1
CP,0,1,NA,572,CP,2,0,2,0,5
CP,0,1,NA,593,CP,2,0,2,0,6
CP,0,1,NA,597,CP,1,1,2,0.5,5
BC,25,2,NA,441,C10,2,0,2,0,2
BC,25,2,13863,1166,C70,2,0,2,0,3
BC,25,2,13865,1153,C70,2,0,2,0,3
BC,25,2,13184,285,C8,2,0,2,0,5
BC,25,2,13561,732,C32,2,0,2,0,5
BC,25,2,14008,1244,C72,2,0,2,0,5
BC,25,2,13648,899,C36,2,0,2,0,7
BC,25,2,NA,1330,c70,1,1,2,0.5,1
BC,25,2,13492,710,C32,1,1,2,0.5,6
BC,25,2,13530,804,C32,0,2,2,1,3
BC,25,2,13981,1243,C72,0,2,2,1,3
BC,25,2,13314,442,C18,0,2,2,1,5
BC,25,2,13317,443,C18,0,2,2,1,5
BC,25,2,14042,1249,C72,0,2,2,1,5
BM,75,4,13180,298,C4,0,2,2,1,5
CP,0,1,NA,568,CP,3,0,3,0,5
CP,0,1,NA,569,CP,3,0,3,0,5
CP,0,1,NA,560,CP,1,2,3,0.666666667,5
BC,25,2,NA,1329,NA,3,0,3,0,1
BC,25,2,13860,1201,C71,3,0,3,0,4
BC,25,2,13227,342,C8,3,0,3,0,5
BC,25,2,13269,?384,C8,3,0,3,0,5
BC,25,2,13514,729,C32,3,0,3,0,5
BC,25,2,NA,962,c38,2,1,3,0.333333333,2
BC,25,2,13881,1186,C70,2,1,3,0.333333333,4
BC,25,2,13997,1241,C75,2,1,3,0.333333333,4
BC,25,2,13214,340,C10,2,1,3,0.333333333,5
BC,25,2,13268,373,C8,2,1,3,0.333333333,5
BC,25,2,13215,348,C8,1,2,3,0.666666667,5
BC,25,2,13381,501,C23,1,2,3,0.666666667,5
BC,25,2,13382,502,C23,1,2,3,0.666666667,5
BC,25,2,13491,734,C32,1,2,3,0.666666667,6
BC,25,2,13312,435,C18,0,3,3,1,4
F1,50,3,NA,146,C6,1,2,3,0.666666667,5
BM,75,4,NA,259,C4,0,3,3,1,1
MP,100,5,NA,208,MP,0,3,3,1,5
CP,0,1,NA,561,CP,3,1,4,0.25,5
BC,25,2,13848,1168,C71,4,0,4,0,3
BC,25,2,13995,1245,C72,4,0,4,0,3
BC,25,2,14024,1248,C72,4,0,4,0,4
BC,25,2,13286,387,C18,4,0,4,0,5
BC,25,2,13440,484,C18,4,0,4,0,5
BC,25,2,13322,476,C18,3,1,4,0.25,3
BC,25,2,13885,1220,C71,3,1,4,0.25,3
BC,25,2,14017,1263,C70,3,1,4,0.25,3
BC,25,2,13556,724,C32,3,1,4,0.25,5
BC,25,2,14155,1326,C94,2,2,4,0.5,1
BC,25,2,13057,130,C3,2,2,4,0.5,5
BC,25,2,13290,381,C18,2,2,4,0.5,5
BC,25,2,NA,1345,c71,1,3,4,0.75,2
BC,25,2,13183,306,C8,1,3,4,0.75,5
BC,25,2,13224,346,C10,1,3,4,0.75,5
BC,25,2,13283,399,C18,1,3,4,0.75,5
BC,25,2,13531,704,C32,1,3,4,0.75,5
BC,25,2,14004,1246,C72,1,3,4,0.75,5
BC,25,2,13185,269,C8,0,4,4,1,5
BC,25,2,13225,334,C10,0,4,4,1,5
F1,50,3,13062,132,C6,4,0,4,0,5
BM,75,4,13064,139,C4,1,3,4,0.75,5
BM,75,4,13102,203,C4,1,3,4,0.75,5
BM,75,4,13107,244,C4,1,3,4,0.75,5
MP,100,5,NA,366,MP,0,4,4,1,2
CP,0,1,NA,272,CP,5,0,5,0,5
CP,0,1,NA,601,CP,5,0,5,0,5
CP,0,1,NA,371,CP,4,1,5,0.2,5
CP,0,1,NA,587,CP,4,1,5,0.2,5
CP,0,1,NA,599,CP,4,1,5,0.2,5
BC,25,2,13284,385,C18,5,0,5,0,5
BC,25,2,14040,1309,C72,4,1,5,0.2,3
BC,25,2,13309,438,C8,3,2,5,0.4,5
BC,25,2,13384,517,C23,3,2,5,0.4,6
BC,25,2,13177,308,C11,1,4,5,0.8,5
F1,50,3,NA,221,C6,1,4,5,0.8,5
F1,50,3,NA,127,C6,0,5,5,1,5
F1,50,3,NA,160,C6,0,5,5,1,5
F1,50,3,NA,161,C6,0,5,5,1,5
BM,75,4,13100,241,C5,2,3,5,0.6,1
BM,75,4,13201,264,C4,0,5,5,1,6
BM,75,4,13197,319,C4,0,5,5,1,5
MP,100,5,NA,273,MP,0,5,5,1,5
MP,100,5,NA,277,MP,0,5,5,1,4
CP,0,1,NA,567,CP,2,4,6,0.666666667,5
BC,25,2,13858,1185,C70,6,0,6,0,3
BC,25,2,13739,912,C72,6,0,6,0,4
BC,25,2,13228,344,C8,6,0,6,0,5
BC,25,2,13490,696,C32,6,0,6,0,5
